M1	M2	M3	meta	mR	l5	mu22	BRtaumu	BRtaue	BRmue	BRhmutau	BRhetau	BRhemu
303.548832038193	43076.59513109162	47212.61874236509	303.5503713596024	312.1214045632202	2.5952736686872847e-10	100921.30662250929	1.1274002539756068e-16	2.2697765730734776e-16	9.850284141220923e-16	7.6261585048720798373276675579522047e-13	0.00000000020661822784026123373977821758354095	9.5788414010614320682861017081085306e-12
464.12015287004317	31271.671353519436	30133.843710100733	464.1431518010541	487.7124507161187	1.6345046707516813e-10	140748.73341046605	4.881370579837499e-15	2.1576901908178745e-15	1.4176733512832407e-14	5.2410181200884114789351786266201371e-11	0.0000000012943283148031620137085823681112162	5.6747934956821338468191066849204452e-11
457.8435490374156	44438.85342223758	29371.221368312497	457.87957540711847	492.7549841077847	1.8958766823221246e-10	48610.50070603816	1.8847299470089982e-14	1.2145788649378064e-16	6.2031653065705095e-15	0.00000000018724719513886212253640150942085711	0.0000000010337188150636081858416138005349433	4.4145736413524206560030601707947366e-11
382.8118338870732	22164.488311633268	28146.899855014795	382.81984605834435	416.3201156449631	1.599514217829512e-10	112850.98091789748	3.268453883312593e-16	9.577142381153378e-15	2.8607767829875016e-14	1.9909853313497790715257927601270881e-11	0.00000000098259409349355090619498688954243233	4.4738682330253004664023459396225434e-11
357.63345428876244	49013.96040804818	49521.34509229583	357.6389525816144	389.9664669389203	2.487842297924581e-10	61130.063802204524	3.6285928435195927e-16	1.8518758092059064e-16	1.0355156749430372e-15	3.96655932372111212189901891575937e-11	0.0000000003642624506301363562935967084965032	1.6796103736350092699175201925956353e-11
544.1439622585136	49744.970158009506	45644.1513683416	544.1984923180325	570.6550226668356	1.9186653949392322e-10	89019.0114697481	1.8899337958218673e-15	3.733265785678475e-16	2.9446071863308502e-15	0.00000000022249971798266816486393639899586662	0.0000000012767123599805179653478130434806639	5.6887436808626580450578108738133946e-11
533.7686889749078	37464.337357382305	43488.80539600504	533.783424154876	550.7320946946589	1.731276015906216e-10	65400.985362505926	7.961995184486752e-17	1.7884035648214084e-15	6.6509550047333386e-15	0.00000000031463826097670076172462248305356418	0.000000001413486297833005241907403128188923	6.3942456154358017841348750125755236e-11
507.2667267917666	37396.84986905592	30286.67550435032	507.3044268940056	534.192753205354	1.6747087202358142e-10	138013.96670526898	1.2410194902612203e-14	7.920833933586248e-16	1.074404572237095e-14	0.00000000010089286308504465524928128063433815	0.0000000015096229363180991911699907969842861	6.4690416363663659381557103452490992e-11
378.449601214778	13841.570292722517	46781.09459256443	378.46904851605177	397.2118039843901	1.5831434980303742e-10	78756.68291825158	2.1141137892157005e-13	1.180400941851347e-13	8.652294085041876e-14	9.031703041591499760161525897410831e-11	0.00000000078217936794560392498072621599425293	4.0463925963704133893654272435311425e-11
505.42547740562463	39476.37311838248	37963.28663050868	505.46602846998326	535.4109551689917	1.7718882336862237e-10	187840.64331723086	2.4737378633490347e-15	9.650211728546614e-16	6.388985776031743e-15	3.2719035810275650327353757126982986e-11	0.0000000013271727405287618710161169902417263	5.8908225486601748830981559237461778e-11
499.1261490037306	29569.22667411474	47215.18244154828	499.1524042428877	500.73871681826273	1.6767926255369044e-10	39613.008497589224	4.212817640544972e-15	5.698506249049238e-15	1.0673942152867063e-14	0.0000000003523815677883730749026177601284721	0.0000000011795398696944038707477330105813332	5.5328247827981935988591420184140905e-11
406.3686529152006	39558.75780449045	37766.907621332124	406.37624258791897	418.21568710537775	2.001244429239254e-10	150857.63293562582	1.8323047846862773e-15	5.370742975383862e-16	3.6526251910350885e-15	1.7110397980582236200065731673403449e-12	0.00000000062410778186996760676740216278247749	2.8040437897154535665035240934945906e-11
449.72856002487185	41746.81348671801	18125.72684263596	449.77197843794926	481.7031928288112	1.7506096856516676e-10	144942.90045323927	1.557845734462231e-13	1.2356872205058647e-16	2.29962960751096e-14	2.1004247105984682264699761831350184e-11	0.0000000012439972978476357429404381027799685	4.8149948608747582560314566373143956e-11
430.0944591991981	42873.28197337259	11771.144954956662	430.1060088577045	432.1041094397711	1.7356210454935297e-10	14448.319788087427	7.449662370508227e-13	2.799281229282711e-15	7.402643034193364e-14	9.6831180369968870311300457521691558e-11	0.0000000010902203607902661082492050435585888	3.6410597622477870345644013732139696e-11
417.2411019649116	32019.394387061104	24473.96823184575	417.26138770658105	454.6929383744717	1.706919244772309e-10	77701.66673102241	2.3261183403662266e-14	8.448552488044215e-16	1.5549753077263076e-14	0.00000000010314980980118776486554813147771498	0.0000000010906595023686550460475328792212002	4.663934219490252276853254606479324e-11
491.8943416813738	35299.54627143605	30712.413491092757	491.9023073176627	499.2157926200873	1.6576139786505685e-10	88211.49575876349	8.572976832995261e-15	1.1055580797787236e-15	1.0799676638101356e-14	0.00000000016731570637152838244870330131537677	0.0000000013025280179498341471054978003207951	5.6181916245922958293699049172474219e-11
400.99717501329906	21907.048814880356	43260.19551838286	401.00932982856807	417.4281992214104	1.694467254457944e-10	40383.17112629887	2.027159798844666e-14	1.5113367970485067e-14	2.029196995407926e-14	0.0000000002083964733543577796106552339614291	0.00000000081106987104764868880075083077977104	3.9032096632506580940782502679442069e-11
610.9710076989008	44252.23618305281	28471.867996186007	610.9872691023872	622.0326861614008	1.59943541347282e-10	154381.33823894177	3.441091316557335e-14	1.8908602420666173e-16	1.2181256437211038e-14	0.00000000019648791527203913504584205060279687	0.0000000022771374108131587218331299539429591	9.213244030876240018633483433947457e-11
592.7435532531723	31880.784849131385	39119.90166547812	592.7730556882917	596.8105152976619	1.511596006338146e-10	188836.70259256332	1.3049293046342844e-17	4.7556759384606586e-15	1.5416087714770152e-14	0.00000000016527860185622107442500871753791924	0.0000000021225132730667223353380156733493964	9.5166360209873853535711794866500479e-11
332.73183751942787	37789.06711917842	45483.01637677874	332.7653446974308	336.4094863866953	2.310047356416134e-10	56036.099816405454	6.904061027080494e-19	5.619390161005491e-16	1.8917042039717462e-15	2.9370093737117005694758472360873135e-11	0.00000000029617114150203860173336604267440764	1.3728256925211914976724886180381784e-11
460.9764716609242	24061.94532913927	43863.90062308107	461.0236911348688	493.3584604369011	1.6208898321964095e-10	160181.03339809383	1.4382445070921706e-14	1.3888939801616993e-14	2.1067145285694564e-14	3.4166054756570677265301685002939342e-11	0.0000000012649548952617389206541749942519518	6.0314618207224850602035220981936947e-11
665.1802887422821	47065.233034291145	37868.339770158345	665.1819580668373	692.2746779330963	1.6324324663045082e-10	153568.79105556215	8.733341381319882e-15	5.31935832565414e-16	7.448299310758663e-15	0.00000000034064780692065932002071312501573726	0.000000002642132756465259446375857020789512	0.0000000001123670587647706344084661246377413
550.7162809240789	40241.10015421	33914.77054086563	550.7505642537806	578.2779532748995	1.6668398356909697e-10	42295.818644045285	8.294892689947334e-15	7.907880392561264e-16	8.883689412458208e-15	0.00000000041629341963203870817472706953792908	0.0000000017695693739269586738996250164427884	7.6295715480549499379350510699913682e-11
616.3221725771971	37484.24770006222	47779.74783529823	616.3675874862784	642.9586259876166	1.6339566327996583e-10	168829.95600704447	1.2134277696111993e-16	2.8366907006038484e-15	8.385785665060575e-15	0.00000000025462580700623669768526535063711129	0.0000000021498830404305742400023498957988093	9.7924069182638481312263581957696392e-11
587.4362880720604	34993.20651370227	39313.83816724178	587.4914650946779	615.8590756018971	1.5695029835959895e-10	273220.0832717988	3.982524401931502e-16	2.9664879196257358e-15	1.207570848576368e-14	3.381766600573841343655523895951557e-11	0.0000000021816189943181128233623783566889096	9.7262586921005926096681323386666441e-11
547.9820057280384	44161.82642821246	23254.370369822063	548.0100153159433	559.9425684780665	1.6490355437058192e-10	181125.32140997346	7.57211301949497e-14	2.8021165805018867e-18	1.565455994542786e-14	6.2569561108427052043134080137986148e-11	0.0000000017938252505269111415705821848357895	7.0329559567867842044700619639380371e-11
505.7861412036168	40966.48192352131	25086.860829323407	505.8345598767584	510.48892164036465	1.6789969558461325e-10	163018.58653237513	4.321908484710278e-14	1.1053563801108368e-16	1.2234687165351161e-14	4.6779705307104249922765330047547241e-11	0.000000001389227559120501510070525596777135	5.6485289006489494584895997572513188e-11
267.35919225956064	17682.97631146455	45026.587517831766	267.37030507471854	277.11646103195875	2.006093798549432e-10	30300.971574038504	3.784179712717706e-14	1.680261623447523e-14	1.603975459344925e-14	4.189291542231150988384866282123603e-11	0.00000000025902318669788183058366936127232073	1.2715505914433363123453965946557814e-11
568.992849774444	37314.8394250892	15727.508592551392	569.0161567413602	576.9708789305269	1.4450129134127272e-10	5147.149486455779	3.7508651361282886e-13	4.562126066431828e-16	6.418704487542417e-14	0.00000000032688277877039559197754501977577192	0.0000000026888157152545850071727095559110933	9.2986310394414281302917195109081451e-11
568.7354086720793	30474.053348502603	19273.18642286289	568.7962414840645	610.8407078288635	1.3906116412311587e-10	188248.16572776757	1.270839267849546e-13	7.519799287242136e-16	5.593496019224552e-14	0.00000000011105199782502050146777696186641331	0.0000000031067684789358317679091689075736047	0.00000000011946948873935652783391232465049142
597.5231699056551	16117.855988460658	28854.174101531004	597.5815895560423	608.8057845927975	1.1737579726472598e-10	55489.02807878392	7.847946729076152e-14	1.203010907288374e-13	1.9407805477844062e-13	0.0000000010337994227279140476681927624782851	0.0000000033694403216333457248559965646965001	0.00000000015894520762855493592511338955156939
590.270823873233	26867.246813906615	15065.47327612613	590.2851030841302	602.336898487254	1.254872354482335e-10	15795.328701244945	3.7004402890279e-13	3.0586573791352775e-16	1.2838627755896253e-13	0.00000000044999845140476218084147379811338863	0.0000000038085453930651059124368901240051036	0.00000000013255571116287780469096941391614726
597.7489647929131	24576.74862545675	15639.944573306504	597.7772815385869	609.9871911331347	1.2123851807589785e-10	239035.1084005256	2.815114716829735e-13	2.107150408832278e-15	1.4334463745967883e-13	6.5093507692904155563601340283546361e-11	0.0000000040825859818528574542037587035496594	0.00000000014548140317582625118928760115327584
