	m6	Whl2l3	Whl3l2	Whl1l3	Whl3l1	Whl1l2	Whl2l1
10	4.1320124001153368735514249793307761901763826831817145623147608567635586297477727	6.4975035340822311395134035338905646005175399594072065511713556317455667538311497e-34	6.497384543972485449757260282810304024725088574890435520412861103246416695748772e-34	2.1302347095359738113787186950927940169086138336164529998862566096655662112062928e-36	2.1300367754791902330126766104774701857659510250779962194128953890053389137171295e-36	6.3855283738906946847956060563707723389960492876591343588297170731440141882377046e-37	6.3855065271270414553917499649311050881573934667774804565722232938313263532349259e-37
11	5.9948425031894101481155956305342034179250571298259272789113359279672570182983458	2.23964643897668765843936494244900579832841981746991027581934673938814253645777e-34	2.2391198423576530155980440339250723336613313360038900077513423303190143457197465e-34	1.7267905684674248980678155996842311197935735029447661630712257582047898631724351e-36	1.7259145264842053273508242619336370223330278673167247853093694881863880755641758e-36	2.6590759233904904913070929978537260452929885122204599897420543593401395818573202e-37	2.6589792016722955380222464019788426191188500000206150804590988819171135898091428e-37
12	8.697490026177833279134791463873327096240032800737822960756655913675582913728946	5.322111528154846761352449987014417355631524243364148225099432117106712438100567e-35	5.2988362890702024737292934277988997156858759388346542966084709070432029950048608e-35	1.8954636315817246738670826838515113862622856632558661028153362192828620164844661e-36	1.8915908817864227062483705179151640501612938314353568250424191001240539991344336e-36	9.4298294561233950466481380814971349362602315061895301610459171457561293077000053e-38	9.4255508932069510369969000080331842103186096526840166002631488177453820064069594e-38
13	12.61856883066020425656892063341966245080249117146587318584656493321806341162119	4.1372986316745951099436685255578187203699883437096927339564589479612792710510791e-35	4.0346991772176305255818238737144035686786265553794683359820444813633897918542693e-35	2.7763260438270983296755310860241145688355458518911204729870525814719783480097542e-36	2.7592480794230294149026744222498666592190871610771532752358545682504884378788513e-36	2.4990324471268480363506560593597010372712701346101734150539382493204013721050907e-38	2.4801392726648419573642613928406990017131580787737014071530282016255878640347727e-38
14	18.307382802953682017934231992362856978105591555719138749783053561696883939304496	1.902011582477994940834734305481390450919596835554538522630786147798529811496485e-34	1.8570418462997766304524769671497173828408567666147309111073046841472863840239321e-34	5.0305977693242587600836632252702456570268835331462668763884229912800595699737542e-36	4.9556837180462074633187511406463566421729794610264629935527934374731383173023684e-36	2.0069677779283217583907709784574075466803645827409937494648871252311165102450072e-38	1.923851754651622319445450870433269006107590950791251253926566488416800825567193e-38
15	26.560877829466862776632335540735948355613201822637655985153143160500474285443299	6.1144571410822485856821854771902836230310546262637133447575810663368375918823996e-34	5.9197507369623820153714992977070056701704360498025524440109912234731210602795855e-34	1.0465371035836625743382205277493443432006521413429124012775456920867954946611364e-35	1.014045033917679090855146841308173356222088414814750198722769535158888236510771e-35	8.3310694805855804539855216123323175668715319255805607484254672370023899402815835e-38	7.9683416584651217147006219610472511549819393124524843613649337041865958553532847e-38
16	38.535285937105294070702149979604145171150825306967036808584949878257488105734519	1.6216229558514926345128684044876971691841445688919828731286623488755454146579942e-33	1.5395567900094392707540248917619078839113306544455822940860949844315432975821441e-33	2.3787165771244748260974336482704617058441836661157455914765054958842847755259471e-35	2.2412453849599686667040179776569721544023927509542680642874053214603106641630044e-35	2.7042388360102994446343397823057747097290841052314372897110579135796331524059199e-37	2.5486885422387284678471280921037393938618577641558980018959666710752496147950644e-37
17	55.908101825122235893502827688604298694102377288028055241742113811755967334254924	4.0100859094439445736445877798020636333907246733303271690580560104766276142990253e-33	3.6850374635065549550890919080257067717041241059863277733079060976087543672014353e-33	5.7289745085933697001421687801165931013335610889042972218659960382553931144698441e-35	5.1797104122993758723402191790614187158124174160481131252327128122296749880681944e-35	7.4338397568607537657656593390151531483763904148066065459674188822194905527511319e-37	6.7929311046831960094790860039709138985997861719363598849859554579782927788226546e-37
18	81.113083078968709132111001153586798536597486295750553638690000630808404534757743	9.7910894438380345973898262133564582471191331066587169218565250927470959261065246e-33	8.6975220852925532212834132741187260923024448344618034599844819832064627333794872e-33	1.4343213289573112750270821502545732339718827842627486328678033670277105025352939e-34	1.2453309743695139715472303723896197933359919865858783029498074186782576690195358e-34	1.9233989812205762267584981859955946060533855825652162497957483715162511815579618e-36	1.6849763687152123103561408233794504997624303382926594135784755393463244833331174e-36
19	117.68119524349984594846405887700805965369664121705451917686032322074785817618621	2.4526876154143892548357666874093066304722588202792436620936051902048273055479852e-32	2.2627037836516089290176214657022623829169609500239553258344117293807012967283481e-32	3.6292381057313804697523023942677868524234290202456928128210015382560491074507286e-34	3.2710512070338887732177749145188342532063451114252166102603357329230307688788743e-34	4.8183935889338462890998845185907772304347095903094418859060725063604934854238808e-36	4.2178215610377299510457673066142862146165251725274766189496042767920283181346545e-36
