m6	Gninj	Wninj
170.735264747069067833967426989296392337914150928097735923022229658816762657110136803249980250796450997289985107431184164	(0.00000000000000000000452772603356057425475588647776099533680959431638365377486830148888059324635389624132649332818048734091887357183094451594 - 0.000000000000000000000443475329005578576907389339315270541529139794803009936218722453320691765970310201706381663275112712650441111330348526681j)	(-0.000000000000000000000174067764620629074179292640251844735715284775278219163700695885802898002312786043909839935756657987416366589569399620536 + 0.000000000000000000000683102204902281294229409205457735114512934745610140134653033506616511557997255135133765010540633441953869933906170990676j)
247.707635599171086724505427753637458774064682261636912771452255462819107532834486484454508904370373810628885908246942079	(0.00000000000000000000707869787869541054478170860156916741051533056422693634918754417032306504171685648988300077249036203764931277455966478919 - 0.000000000000000000000712763539507673413613498780147347747634220480646216746673870649681588273178046639680515918187469741124081108657131488399j)	(-0.000000000000000000000158658132279100180177914470099167229577772291828986232915648027985370891395689958065639137514703670052708002715815854442 + 0.000000000000000000000859573579140999932627951260109260093439043521672953922702949865852905088797740546337159548971522405270555018737885750395j)
359.381366380462730218816722903842263650386450278684975953189664143890373227099950360673415840345486857525772862216664145	(0.0000000000000000000110084147657424477918290672821103941501980331116858689987277665156157261093674032976935513714760140606002585647808181118 + 0.000000000000000000000123984396217849594456777430794885876569624372256376770802088513798656217293764895593763105502614552034281204100481606j)	(-0.000000000000000000000142559071757520580305825646600209842197813707655555552756721540028873898939536035575694511687688169469353443932737708161 - 0.000000000000000000000155716056311290190519650623511411758508485777694346013891112039545531953699227323340395114784784692478179360805459135711j)
521.400828799968504522973700530306284769725488843893411579320356041861841973129626993723877817469858618016202601898606214	(0.0000000000000000000170204874295413512871253753043135163158180865289236801711255113422175575241080051800162817423348670394575273210571657859 + 1.29821078628658051822731042520762938620642237205038452778881012394273970557380808593562546346108424254110390293695818338e-142j)	(-0.000000000000000000000126288693154100929269216341525361504113293314862973904696744497860930287771392455314655117861778245004142585068685400678 + 4.88808084650078626754604629022948731820167441560851766837535125055376115438570200383032668597226612491923294795696508559e-141j)
756.463327554628870191630700084242361509882311077210629360373016552662124545089903810394984999141452130628209928531586408	(0.0000000000000000000262442815804005892160943047141958058468344653305694582597610913708344723854882173935792230744438675125238501732914004847 - 1.03328222170255881985245030477305108567428923878301415907986506086556567357432489219719043462663660260166888584652820825e-142j)	(-0.000000000000000000000108325092868375967039215312032318669882288022437866360730937254354796896651466719687847692520622462624520584404610617277 - 9.38714092138070697117670279976399699179224296070572155657876347406762669221996456382737800671731108153535761946384016905e-141j)
1097.4987654930561098977530741317955114708037275286893288644589980401398938530915242988500409531203255124767234080828746	(0.0000000000000000000403578819705339554946578085442685036955685648507065705261743761274592462558740512762682432061187397616186561367769866964 - 2.61353574224333896298331276385635042556002538881951025563709229029169132461237263844387035683071392889545875599008076961e-143j)	(-0.0000000000000000000000903320669407199821157623103960318528942523396649691882122363672403688352239932269967390780671462471898088233360232951624 - 1.44478256371160690983814776716351643964718597073558931433748698810908819697349784556264968504924629138484519419137458485e-141j)
1592.28279334109234607183678963618139004978871820555926100410799172965440925939634685770504859948161389564690027232299429	(0.0000000000000000000618969379374529698354445705765945309976217072244437800503355391778235284261511012341082401271513703770613412525546499049 - 1.04026537569348679814978883847190786612987893603836267878431599790012909346119010307590801397338012938566030615546221615e-141j)	(-0.00000000000000000000007351826539349889018312024630784153036432042600145144575007481746953372284138823096172116749835988016218279532252331275 - 3.18893148201154455308036422284623961295565577870722591387772256757067864061272483499002030287919125336096576973395585564e-139j)
2310.12970008315975898383078868442237581311310848620975611655055997949835025016811396977582199470592477632212131298408733	(0.0000000000000000000946862802867339290832110847797218067447571649262560402460303763185462657447562231875112168881198822117905785303197012791 + 4.71256800167625710277803800435394700433908927344872202219669934500365632117090596892923970351752035997812189324256003159e-142j)	(-0.0000000000000000000000586277419186360420793170126516753394781679891595273226575174171686283788728969308080067106103815586008105078084546887217 + 4.43499417554755250473957879855388594618148422485098804569395019162652388234870287304136188934942559563068242865266112594e-139j)
3351.60265093884214752321138079455035160629860267496775026797943827136341324203217859390735758971938632514086005017683937	(0.000000000000000000144488464114148772918590151404637059660656469235223863326138996425956908208522095855196514216793452356421290114563570583 - 1.31338175303738500259600863226373162001540068267016550885942101186823616085279889999309564797575939984064538712507094587e-141j)	(-0.0000000000000000000000459729815412132107362626526323541294951397211894857400563444802659249818118550581079548024963232072067905412641634346643 - 1.68897185854552435478835302304321870795205070492200337250908354902810346544631615062750471772885142411022653779252252436e-138j)
4862.60158006535363992323348696572880949459183577483736852872715482735909711757057758303504958393464001959299740297556482	(0.000000000000000000219974626630737582312542436843873227120795425568397236506360274268803213095303061919764345013549566590106054397719410815 + 2.17925084148522638979488026001606971353456797071937654118968562013665902903685639054597171580151690342325283179950268174e-141j)	(-0.0000000000000000000000355536783243339227799156833741609313414168153216354151678069551408639847144694051880287186516975560243291722290782409054 + 4.66175102794229538231348500608178178528722193227308939308074425210926636758465087880840804129831482646606643271048262385e-138j)
