m6	Gninj	Wninj
1592.28279334109234607183678963618139004978871820555926100410799172965440925939634685770504859948161389564690027232299429	(0.0000000000000000000340007275248344913406978416766768731812394164878633015337468329711813011194749190468926141455149350176379263944226040132 - 7.88538781296999670398734097862588211884796842977063839082024574304360182731659888666552454239885813672423649960002099162e-142j)	(-0.00000000000000000000000601867066943684537260348308577502229761267493199749942108046238291195513280778631631091962644637082466705586618158436145 - 2.73074855261334209667566363556501609528239381833098409265167017800233699681018544983214111123210126326962302870054328539e-139j)
2310.12970008315975898383078868442237581311310848620975611655055997949835025016811396977582199470592477632212131298408733	(0.0000000000000000000518838371099971357755319465988205095269561056372552345183937254443769321058552761087299636838070100433513304244258627221 + 9.76610598494487414477640551883793452548950876290637663974966082375229436326856043817694038048362716322277801315440974637e-142j)	(-0.00000000000000000000000372259537065662410274750846344686884798639063358873766763107045677747915729351654574228958785220661016306280213671695569 + 4.89475298141574330044329977386082275251515600531564516897201164077681994107192251422402443939593811871036732714890976625e-139j)
3351.60265093884214752321138079455035160629860267496775026797943827136341324203217859390735758971938632514086005017683937	(0.0000000000000000000789852468984269002259756595543078006154274488723841916141818665893607517692934439284592679745564889145490616764465102385 - 7.35913668413211563238061377333687613978957702326351608891103331158481311917226107277326247318767480021436791146798247407e-142j)	(-0.000000000000000000000002219108403365903560824640704307338040024004496819908746846344420772872827758308723016261408183320369599471277224733124 - 1.34071759257911663016997771638729131834839761527253466321839701956212411257706047913373172854533973100479411833821780511e-138j)
4862.60158006535363992323348696572880949459183577483736852872715482735909711757057758303504958393464001959299740297556482	(0.000000000000000000119980462608334528166721832200253422207731531036000048688028126645227369735068672133690714484228006117021630470781257006 + 2.67979568513199262482744186205304920891298491734543261134055745001466289729723216320385564730006611977759585377956450083e-143j)	(-0.00000000000000000000000126822849269998178911451663758539308812493067664026265101117806715516932049801900480508305184672655604478558005133282941 + 2.71457344088292224733443504672639854793041965735087062663281015206099560034876505771945294692127801623625365889227170985e-138j)
7054.80231071864323587296321549049208072014140081864067685755490106946203000598860117861429688783211180424749678472497403	(0.000000000000000000181887611832907800985703328327769428948965793142956947702360325905647694123755680826572099838150030361755798447382973548 - 1.72151415453054405224185202558801110231293238933740207201563018944732930979967635701380497861719330283229700018978041208e-141j)	(-0.000000000000000000000000685037273514643612935736437792194552422086518027170617477061098994525100828825752916925843913143114874302895386429584205 - 1.63270889106905588780306024000388762265718751600388332451038173315287673341451817691186265987602770645554198778657546487e-137j)
10235.3102189902618431195586372049875016311712529871803316334689376662857506193750722075766642590620126244879481390689301	(0.000000000000000000275229267296473380756830206359236470222762708475189536213017413533433642171197248131363428863087808969375911616578093392 - 3.98582631667440310304639618418785055314500553198806669384339435366932346399777296341992025609164268272937883019517679818e-141j)	(-0.000000000000000000000000338322140768773162611460309174626240731700547663984648554765531524841589858408216288308124849258416934122295553865620494 - 4.78253769444612748206831316155360237720695899122706017913108804565164267739338462120005398054960943905813391373472229177e-137j)
14849.6826225446504221296717449073393384020860257676185874554707532782673445900834350252591630620900511156997222330330902	(0.000000000000000000415765731523831569058754937681598988252491166800748519260634346210843674515238075341670332749876734196347427500262782062 - 1.09127763867371189781117762116551812173572982268701970722775109473431155911961331933168807842573184025858567715423350777e-140j)	(-0.000000000000000000000000139601706516984261896049398071949625150345316262467665240850236935567370273964811507418756280900283578155750562812290262 - 3.17590677193099565842426719049872625484603596514130370315621667143736784869564181032872761061539365685247465090418076831e-136j)
21544.3469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(0.000000000000000000627078913614343322060787870564225776117235846698658367359300227139772755915306390255449269421606781080651283832644896893 - 2.74170036482611588113431758849631369637173417462464116570671231616833337486577924955987879619294408188575303511735765841e-141j)	(-0.000000000000000000000000031215063496157485935547754118850260323865153273884394048966241104692390940180377438640997954355904389780107771557249126 - 2.28617570624334874326793670081888070935172718372867834994167645436619424293017206667010371311853944049890269554016346497e-136j)
31257.158496882362841862668342934974816775166532207315492413352459656179166163661326883615394234232325082772062645543363	(0.000000000000000000944421452996092074677340125061258282701486417814958459827638042486127750493159297756574097719416050865126009782682945375 + 6.96018986891552123514421760337073982187775965796273912149441516901570561911851063119545259310862469351927889760105377675e-142j)	(0.0000000000000000000000000234748214411591595286074820788552333499540534526644934036010929185478552470551919519909959675602281033160509547899199786 - 3.03712070679398629600730722088608829419663409672385352379176525698966512564422903269517812292757025142189672695687628226e-136j)
45348.7850812858203633179606345741032737746825386803919225858022554407237841045450277645174695604402957747229124606023504	(0.00000000000000000142044673939070353507809674880988172165908499188672150094257174082046699279317979369995621047738656855892320243027402599 + 1.08883039602373333400655656020628351553385778151373106342434121133513719940614564142015724580725792571433683765587318606e-140j)	(0.0000000000000000000000000472567054128786830611635548951188686803387890618760745728481885954064591324697032229776094193897306834969026060867532703 + 2.47133888797719874873492282890384343228737275148111640408341280249341537467631422004204166682393842222075659565091728411e-135j)
