	m6	One no mni	One with mni	Two	Total
20	170.735264747069067833967426989296392337914150928097735923022229658816762657110136803249980250796451	(0.003200000000000000153349555276349747412623720843531231151837891806508056213599361822550046222387770701 + 0.0j)	(0.003200000000000000153349555276349831708100847470537956020750427424279667073209009351730233414559592452 - 3.570528163114337539380198412556542538862582245267557888371878558689216461395700748366951453612330119e-41j)	(0.00320000000000000015334955527636527599601252997708178289684342737368609422413361196776372740302963608 - 8.810556183463436922018914959273882659088724621615354850148080118845106493186617307023334167495596377e-40j)	(0.003200000000000000153349555276349826795693309355002158573578895081932681093527680691008371942679632712 - 3.201840652072065091741431986461976522804092615084637485494564531288176290882944675755276334766575481e-41j)
21	247.7076355991710867245054277536374587740646822616369127714522554628191075328344864844545089043703738	(0.003200000000000000153349555276349747312914797148221138726431061376819739794239151050356454254455717843 + 0.0j)	(0.003200000000000000153349555276349844762110275087105403418547058082703939833286812222601421659779230146 - 5.828973185051035119572939234830584441287267717025877011774273682322300760247112734085962148487751251e-41j)	(0.003200000000000000153349555276388207557866754752882677680765202901680444824171764875653505417359857006 - 2.187100200603026691698171673874157610518393602192968303111134746216421001684188100518284252757022577e-39j)	(0.003200000000000000153349555276349840697977280745428420605882088484996100035524577255882314066444987959 - 5.36832748106567373333631265429727167155860115710894757205194212283489889338899695488260987857029461e-41j)
22	359.3813663804627302188167229038422636503864502786849759531896641438903732270999503606734158403454868	(0.003200000000000000153349555276349747239646751900821212322240696700119476727166303072552001019964968738 + 0.0j)	(0.003200000000000000153349555276349768188118845440212821450226306028483865906270984746824754628850273963 - 2.815317744189461917705451928867559167159990341455750168116051608774752584768881052980757403648673044e-42j)	(0.003200000000000000153349555276443005274530337274106186721815947328457415105907558706171568134455695291 - 1.873447218290312761585061107521578005951504491669306392583010518181736405649514173217007205184082236e-40j)	(0.00320000000000000015334955527634976550766915690920541722412049303588004505791652173616142526410527867 - 2.625552250245582974620374346349262126310978530039592213341737571886643225681193418920751634182873288e-42j)
23	521.4008287999685045229737005303062847697254888438934115793203560418618419731296269937238778174698586	(0.003200000000000000153349555276349747194855819919356330176383027764006767893056027681172358802136489873 + 0.0j)	(0.003200000000000000153349555276349761725753574325707851916779645003053651774174239397521435218820582576 - 1.228833187302580043307440547446403623762397054336694617913941704360538839914881242363639580796177496e-54j)	(0.003200000000000000153349555276574044806133471772224641336598407490204014300882436295112327857431441548 - 1.283612504223848530710930040678311803802840695092114186366166465514686256575505826606400781751991615e-54j)	(0.00320000000000000015334955527634976008987920593022479342139762767658869101509994201991191058061299056 - 1.24278208387019398528220224152581458111123330193391895985952256799886471568890163526500753561523091e-54j)
24	756.4633275546288701916307000842423615098823110772106293603730165526621245450899038103949849991414521	(0.003200000000000000153349555276349747170396236629620530383006531961572933446432298725799485631619800561 + 0.0j)	(0.00320000000000000015334955527634975678671990768179469717065923085075550198193882238085775251162347998 - 1.752738256135039314628927053117355590725377280223095651252086463789582911763120167046102886057014996e-54j)	(0.003200000000000000153349555276884526641997067867670965654901190990146714377494648498484107922170195876 - 1.79156876500057498903705717169499674539559176306687199253579727346263748353421893577513689931134769e-54j)	(0.003200000000000000153349555276349755843107396606733129733895773842234425455212530069604853193963941826 - 1.761298085178201076828710403792843318549237623056254486659329339221572702644235620317135235254480696e-54j)
25	1097.498765493056109897753074131795511470803727528689328864458998040139893853091524298850040953120325	(0.003200000000000000153349555276349747157891080857270950993341613758354884051400425679546340323232600046 + 0.0j)	(0.003200000000000000153349555276349753196703373906374024679970755734954646098261147093885525714807879173 - 2.513378634673459206791183088128702890904266805148903544770265655709850106453095067726761503783168489e-54j)	(0.003200000000000000153349555277615271773107515155545179360744499743726863999185254988365364767794667849 - 2.540532399585271031839740008258953180971007475955503212647429986175035126147682116647961555605484333e-54j)	(0.003200000000000000153349555276349752673296635117115933971292766962813904506662207995657392703460593328 - 2.518890770054114662834523873948298071765375661214520619878114103458952098465026638584252042919222157e-54j)
26	1592.282793341092346071836789636181390049788718205559261004107991729654409259396346857705048599481614	(0.003200000000000000153349555276349747151725769734599673489361168425974554563808938253902229855392975046 + 0.0j)	(0.003200000000000000153349555276349750786788428072986739058807709282574365901758589376180104809002316031 - 3.619530348587306852337631402134653480470169437714492898015654788757309831278344780979144908618365918e-54j)	(0.003200000000000000153349555279324959583348288044161327500241116719280413933583039300441567006124950371 - 3.638379899546052477291140624953314362452643963393071860427189760853065861308573270048571409621555494e-54j)	(0.003200000000000000153349555276349750504507624816979562772315687006129650560516173496257463507665723168 - 3.623195856725859290877922631404760327640377365776675836719750543448758403686174643800825301518635179e-54j)
27	2310.129700083159758983830788684422375813113108486209756116550559979498350250168113969775821994705925	(0.003200000000000000153349555276349747148743305387572646485976999924333007843718498202351312682682340922 + 0.0j)	(0.003200000000000000153349555276349749252788472707505436814322182626026287965537512040500478867272371266 - 5.227985049150586733043137494246626761640874651878498635471361458552579166884230419662584520346775502e-54j)	(0.003200000000000000153349555283303748150767676161593028522295009522723676659472865978883614038649575411 - 5.241021232173656986943023037171336650495888742471081772634053432245112504171208362878188038744832655e-54j)	(0.003200000000000000153349555276349749104046416844990490890503256656614869292514609138758376544360571782 - 5.23046740094644467866105699811464595127314436202423633915326842169391610704575730760851488642383085e-54j)
28	3351.602650938842147523211380794550351606298602674967750267979438271363413242032178593907357589719386	(0.003200000000000000153349555276349747147314178296535804306185500843568189239529531709706533582204655788 + 0.0j)	(0.003200000000000000153349555276349748312263391141988134225781514113779926927359916668804016491177029391 - 7.56546994962115565840505807070477092894226935633791039286805574521271506086985328026218739221451473e-54j)	(0.003200000000000000153349555292518672918102935459325978965805344554139711781345553255170570667963027778 - 7.574469306835086183790077562253757079264357231865431570437124640370934334016918697205232187374693107e-54j)	(0.003200000000000000153349555276349748235757909579876723376818517131808626544001793237121406438694662797 - 7.56716682163681852932289007127539768605861939260981240816360583427053928868705561040979846286735197e-54j)
29	4862.60158006535363992323348696572880949459183577483736852872715482735909711757057758303504958393464	(0.003200000000000000153349555276349747146632510709565450767831285164621306366846124539956273595439843041 + 0.0j)	(0.003200000000000000153349555276349747751803367946947418860600559080232062585753505679008804539700349485 - 1.09604595820880371357734141626892930355796784423015598917706012371109746366885211185592429345098821e-53j)	(0.003200000000000000153349555313767368388169125091164489238808092847756289480910754540205971439493346546 - 1.096666687531332415069596429300397071727649038023044428749725489425966137887636844227656754791231035e-53j)	(0.003200000000000000153349555276349747713732805981201308423296321747006625486346218573501968961880496708 - 1.096162475377046858965905942509098581170732445901023529317754625289455872496911521909523547255144428e-53j)
